msoa11cd,total_number_of_collisions_2018_2022,total_number_of_casualties_2018_2022,fatal_casualties_2018_2022,cyclist_casualties_2018_2022,pedestrian_casualties_2018_2022,horse_rider_casualties_2018_2022,car_occupant_casualties_2018_2022,snow_collisions_2018_2022,fog_or_mist_collisions_2018_2022,darkness_collisions_2018_2022,daylight_collisions_2018_2022,summer_collisions_2018_2022
E02003792,99,61,1,4,4,0,10,6,7,26,74,28
E02004275,99,54,0,10,7,0,5,4,4,17,82,31
E02004536,99,52,1,2,7,0,4,4,4,22,79,30
E02005512,99,82,1,2,7,0,10,6,6,27,72,35
E02005715,99,63,0,4,16,0,3,5,5,29,70,23
E02005789,99,72,0,2,7,0,7,10,10,29,71,21
E02006577,99,105,0,13,12,0,9,5,5,28,72,25
E02006704,99,43,0,5,7,0,6,4,4,33,67,25
W02000133,99,67,2,0,5,0,7,5,5,28,71,31
E02000012,98,143,0,14,10,0,12,5,5,32,67,33
E02000154,98,65,0,13,11,0,9,5,5,36,64,27
E02000297,98,86,0,10,18,0,15,6,6,33,65,22
E02000553,98,89,1,15,16,0,8,4,4,29,69,29
E02000730,98,118,0,12,13,0,25,4,4,23,75,30
E02000874,98,115,0,41,11,0,22,4,4,36,62,21
E02000952,98,70,1,23,10,0,21,4,4,33,66,27
E02000959,98,120,0,42,16,0,30,4,4,41,58,21
E02001627,98,0,0,0,0,0,2,4,4,28,70,25
E02001650,98,44,1,6,8,0,2,5,5,31,68,22
E02001896,98,105,1,8,30,0,2,5,5,39,59,25
E02002829,98,80,1,10,19,0,9,6,6,32,67,28
E02002877,98,54,1,10,13,0,0,5,5,29,69,20
E02003204,98,74,0,15,5,0,17,5,5,21,77,28
E02003384,98,39,0,2,2,0,3,4,5,21,78,25
E02003385,98,61,0,3,6,0,8,4,4,27,71,21
E02003516,98,64,0,17,7,0,18,5,5,23,75,26
E02003927,98,65,1,4,6,0,3,5,5,26,73,34
E02004073,98,72,1,3,12,0,7,6,6,19,79,32
E02004118,98,48,3,5,5,0,2,4,4,36,62,26
E02004339,98,29,0,2,3,0,2,7,4,30,69,18
E02004651,98,73,1,6,5,0,8,4,4,26,73,20
E02005021,98,59,0,3,5,0,3,5,5,33,65,12
E02005230,98,75,1,9,9,0,9,4,4,38,61,29
E02005439,98,131,3,8,6,0,12,7,7,34,64,24
E02006318,98,45,0,15,5,0,5,4,4,20,78,27
E02006384,98,117,0,9,18,0,8,6,6,20,78,25
E02006511,98,72,2,7,7,0,8,7,8,23,76,27
E02006907,98,50,1,13,11,0,6,4,4,39,59,15
E02000207,97,144,0,10,16,0,28,5,5,35,62,25
E02000331,97,100,0,9,19,0,22,4,4,25,72,26
E02000444,97,96,0,9,16,0,27,5,5,35,62,31
E02000462,97,82,0,8,9,0,16,4,4,35,62,22
E02000797,97,49,0,18,10,0,10,4,4,21,77,30
E02000896,97,73,0,5,15,0,9,5,5,25,72,28
E02001571,97,47,1,4,10,0,3,4,4,36,61,31
E02001615,97,49,0,6,8,0,5,5,5,33,65,24
E02001629,97,0,0,0,1,0,0,5,4,34,63,24
E02001822,97,38,0,0,4,0,6,5,5,26,71,29
E02001886,97,130,0,9,30,0,8,5,5,36,62,23
E02001977,97,90,2,11,23,0,3,5,5,34,63,25
E02002280,97,54,0,1,14,0,5,4,4,30,67,19
E02002623,97,123,1,9,21,0,7,6,6,33,66,22
E02002678,97,101,3,22,11,0,12,5,5,27,71,23
E02003014,97,61,0,10,13,0,7,5,5,28,69,27
E02003183,97,53,0,12,7,0,8,4,4,32,65,17
E02003251,97,67,0,7,3,0,1,5,5,23,74,17
E02003327,97,82,2,3,15,0,9,4,4,27,70,30
E02003767,97,30,1,0,2,0,5,4,4,26,71,21
E02004003,97,112,0,6,11,0,8,9,9,24,74,29
E02004377,97,118,0,10,14,0,13,7,6,26,71,25
E02004497,97,60,0,4,8,0,6,5,5,25,73,21
E02004556,97,55,1,1,6,0,7,4,4,18,79,29
E02004581,97,76,1,3,7,0,7,4,4,24,73,27
E02004753,97,105,1,4,18,0,18,7,7,34,65,28
E02004758,97,54,1,4,3,0,8,5,5,30,69,26
E02004820,97,63,1,2,3,0,6,4,4,33,64,26
E02005004,97,111,2,4,6,0,13,8,8,27,72,36
E02005084,97,100,1,1,10,0,10,4,4,29,68,24
E02005106,97,115,1,7,16,0,12,6,6,26,72,23
E02005205,97,61,1,5,5,0,1,4,4,35,63,33
E02005252,97,105,0,6,15,0,4,6,6,31,67,27
E02005267,97,82,0,4,19,0,3,3,3,36,61,25
E02005328,97,65,0,10,7,0,6,5,5,18,79,24
E02005459,97,112,2,6,7,1,11,4,4,28,69,31
E02005504,97,96,4,1,7,0,13,4,5,25,72,27
E02005677,97,38,0,1,4,0,3,5,5,38,59,17
E02005751,97,41,0,7,4,0,3,7,5,27,71,40
E02006343,97,86,0,15,12,0,12,7,6,31,66,30
E02006624,97,76,2,22,4,0,8,5,5,16,82,32
E02006844,97,0,1,2,3,0,1,5,5,55,43,23
E02006884,97,113,1,7,21,1,16,9,9,21,76,32
E02000085,96,83,1,11,7,0,5,5,5,23,73,23
E02000092,96,81,2,7,9,0,13,5,4,22,74,31
E02000096,96,67,1,7,11,0,12,5,5,34,62,25
E02000160,96,52,0,6,9,0,7,5,5,21,76,20
E02000570,96,58,0,17,17,0,6,5,5,25,71,27
E02000750,96,160,0,17,20,0,45,6,6,27,69,32
E02001604,96,75,1,5,11,0,4,6,5,32,64,23
E02001862,96,138,1,6,29,0,3,6,6,31,65,31
E02001895,96,111,2,8,15,0,4,5,5,28,68,35
E02002217,96,124,3,4,28,0,4,5,5,26,70,22
E02002304,96,43,0,8,9,0,2,4,4,37,60,29
E02002336,96,49,1,10,5,0,1,5,5,27,69,33
E02002539,96,63,1,6,2,0,3,7,6,29,68,22
E02002693,96,60,0,2,7,1,2,4,4,35,61,21
E02003284,96,77,0,10,12,0,10,7,7,22,77,31
E02003541,96,113,1,24,22,0,12,6,6,36,60,24
E02003560,96,88,0,16,11,0,10,5,5,18,78,19
E02003722,96,63,3,35,9,0,5,5,5,24,72,30
E02003901,96,73,0,2,1,1,4,5,5,19,77,28
E02003947,96,63,0,5,2,0,4,4,4,20,77,28
E02003952,96,75,1,8,10,0,9,4,4,20,77,33
E02004169,96,56,0,4,7,0,7,4,4,29,67,29
E02004256,96,66,0,3,10,0,2,5,5,23,73,29
E02004403,96,75,2,2,10,0,8,4,4,34,62,27
E02004409,96,56,1,0,3,1,10,3,3,32,64,29
E02004531,96,63,0,7,6,0,8,4,4,19,79,23
E02005147,96,98,0,6,18,0,15,5,5,20,76,31
E02005160,96,82,2,12,10,0,8,6,6,14,84,23
E02005619,96,29,0,0,2,0,4,3,4,33,63,25
E02005917,96,29,1,2,2,0,1,4,3,23,74,34
E02006230,96,98,2,7,11,0,12,6,6,17,80,28
E02006243,96,68,3,11,4,0,10,5,5,28,68,28
E02006278,96,49,0,8,9,0,6,6,6,20,77,31
E02006917,96,0,0,4,2,0,0,4,4,44,52,26
W02000024,96,0,0,0,1,0,1,5,4,11,86,38
W02000120,96,49,0,2,2,0,2,5,5,18,78,27
E02000067,95,99,0,9,12,0,15,5,5,31,64,21
E02000537,95,109,2,19,22,0,22,5,5,33,62,22
E02000600,95,87,0,29,10,0,27,5,5,18,78,23
E02000905,95,120,1,18,16,0,30,5,5,29,66,21
E02001419,95,67,1,5,17,0,12,5,5,20,75,26
E02001566,95,91,1,11,9,0,5,4,4,35,61,21
E02001915,95,103,1,14,12,0,4,7,7,23,73,26
E02002242,95,75,0,2,8,1,4,5,5,31,65,18
E02002420,95,95,1,10,19,0,6,5,5,31,64,23
E02002647,95,98,1,16,17,0,12,5,5,21,75,28
E02002769,95,41,1,3,4,0,7,4,4,26,71,25
E02002922,95,38,0,3,2,1,3,5,5,27,68,30
E02003025,95,83,1,11,18,0,11,4,4,31,64,24
E02003186,95,107,2,24,16,0,30,5,5,23,72,24
E02003253,95,98,1,18,14,0,7,5,5,28,67,19
E02003414,95,99,0,5,10,0,13,6,6,31,64,21
E02003595,95,72,0,5,7,1,13,6,6,25,71,29
E02003606,95,54,1,2,3,0,7,5,5,21,75,30
E02004226,95,76,0,1,0,2,5,4,4,13,82,27
E02004266,95,87,0,9,4,0,6,5,5,18,78,29
E02004315,95,0,0,4,9,0,4,5,5,17,78,25
E02005059,95,103,2,10,15,0,12,6,6,26,69,27
E02005093,95,79,2,3,2,0,8,4,4,33,63,21
E02005110,95,75,1,2,3,0,5,4,4,23,72,27
E02005258,95,60,0,6,6,0,2,5,5,20,75,25
E02005645,95,52,1,3,8,1,3,6,6,27,69,25
E02006799,95,139,1,7,14,0,21,7,6,31,65,21
E02006821,95,38,0,5,4,0,2,4,4,29,66,26
E02006922,95,116,0,14,15,0,21,9,9,27,69,26
E02000093,94,125,0,14,15,0,34,6,6,33,61,23
E02000431,94,34,0,14,8,0,3,4,4,32,62,29
E02000514,94,137,1,9,20,0,20,6,6,28,66,24
E02000687,94,108,0,19,7,0,25,5,5,32,63,21
E02000692,94,58,0,23,15,0,6,5,5,24,71,21
E02000751,94,63,0,12,14,0,10,7,8,21,75,27
E02000796,94,102,1,19,12,0,10,6,6,26,68,19
E02000864,94,132,1,39,13,0,18,4,4,40,54,16
E02000955,94,118,0,35,21,0,31,4,4,14,80,29
E02001883,94,96,0,9,16,0,8,5,5,28,66,27
E02002202,94,55,1,5,6,0,4,5,5,26,68,25
E02002220,94,140,1,5,25,0,2,5,5,33,61,27
E02002619,94,131,0,6,19,0,1,5,5,32,63,21
E02002714,94,69,1,5,5,0,9,5,5,28,67,31
E02002818,94,90,3,10,18,0,3,4,4,29,65,23
E02002875,94,90,0,7,21,0,8,5,5,16,78,25
E02003156,94,103,0,14,8,0,16,6,6,28,66,26
E02003226,94,77,1,10,15,0,6,4,4,33,61,23
E02003736,94,76,0,8,5,0,8,6,6,29,65,19
E02003912,94,67,0,0,1,0,7,5,5,21,74,28
E02004253,94,54,0,8,1,0,10,5,5,25,70,33
E02004375,94,109,1,9,13,0,18,5,5,29,65,23
E02005060,94,103,0,2,11,0,8,5,5,28,66,20
E02005798,94,45,1,2,1,0,8,7,6,16,79,36
E02005825,94,55,1,4,5,0,8,5,5,28,66,21
E02006516,94,71,1,0,1,1,6,5,5,32,62,27
E02006537,94,117,0,24,12,0,19,7,7,24,71,20
E02006870,94,138,3,14,17,0,15,7,7,14,80,24
E02000350,93,118,0,41,19,0,32,5,5,33,60,27
E02000461,93,48,0,10,9,0,9,4,4,33,60,24
E02000676,93,85,0,23,13,0,16,5,5,36,57,30
E02000696,93,121,0,23,11,0,44,5,5,31,63,26
E02000733,93,137,1,18,22,0,26,5,5,28,66,25
E02000805,93,93,0,30,14,0,10,6,6,22,72,28
E02000907,93,142,1,27,28,0,29,6,6,30,63,24
E02001366,93,90,1,17,16,0,6,6,6,29,65,29
E02001640,93,0,0,8,4,0,1,5,5,31,63,25
E02001856,93,106,0,10,17,0,4,5,5,29,64,19
E02001882,93,119,2,2,21,0,1,5,5,30,63,21
E02002668,93,129,3,25,13,0,24,6,6,16,79,23
E02002697,93,67,1,10,2,0,4,4,4,18,75,27
E02002719,93,37,0,12,4,0,3,4,4,17,77,27
E02002878,93,113,0,18,15,0,9,5,5,28,65,25
E02003377,93,41,1,5,2,0,7,6,6,17,76,38
E02003402,93,71,0,20,11,0,13,6,6,27,66,21
E02003405,93,124,1,18,15,0,15,6,6,19,75,25
E02003496,93,110,0,12,16,0,22,5,5,32,61,20
E02003526,93,52,0,8,4,0,4,4,4,26,67,27
E02003645,93,55,2,7,5,0,4,4,4,29,65,26
E02003906,93,45,1,2,4,1,5,4,4,21,73,35
E02003963,93,86,3,2,11,0,15,6,6,23,70,25
E02004186,93,77,0,8,3,0,9,5,5,17,76,21
E02004214,93,52,1,1,14,0,10,4,4,21,72,24
E02004505,93,44,0,4,2,0,2,3,3,14,80,30
E02004532,93,58,1,2,8,0,9,4,4,34,59,19
E02004598,93,91,1,3,4,0,9,6,6,30,64,25
E02004637,93,59,0,9,11,0,6,5,5,28,65,26
E02004679,93,63,2,4,9,0,2,5,5,27,66,27
E02005010,93,82,1,9,14,0,9,5,5,23,70,31
E02005055,93,130,1,6,16,0,19,4,4,26,67,24
E02005428,93,98,2,1,13,0,9,4,4,23,70,32
E02005562,93,65,0,2,9,0,4,4,4,22,71,24
E02006289,93,70,0,7,5,0,5,5,5,24,69,33
E02006311,93,73,0,7,7,0,8,5,5,26,67,23
E02006449,93,53,0,5,6,0,5,5,5,29,64,22
E02006525,93,66,1,14,8,0,6,8,8,19,76,24
E02006679,93,93,1,18,6,0,14,6,6,30,64,21
E02006861,93,73,0,31,15,0,2,7,7,28,66,19
E02006880,93,87,1,2,16,0,7,4,4,25,68,24
W02000097,93,69,2,3,2,0,5,5,5,23,70,40
W02000101,93,40,1,5,7,0,2,4,4,26,67,27
E02000167,92,38,0,19,5,0,4,5,5,25,68,24
E02000256,92,77,1,19,15,0,23,5,5,20,72,20
E02000483,92,82,2,5,13,0,12,5,5,33,60,25
E02000603,92,105,1,27,9,0,24,5,5,20,72,27
E02000626,92,148,0,48,18,0,42,5,5,37,55,28
E02000670,92,79,0,17,12,0,10,4,4,27,65,27
E02000846,92,63,0,6,8,0,10,4,4,23,69,16
E02000869,92,71,0,24,7,0,9,4,4,32,60,25
E02001172,92,57,0,11,12,0,1,6,6,25,68,30
E02002215,92,110,3,0,19,0,0,5,5,27,65,20
E02002582,92,35,0,5,1,0,3,5,5,25,67,27
E02002874,92,76,0,8,19,0,6,5,5,26,66,24
E02003031,92,70,0,34,13,0,2,6,6,33,59,18
E02003262,92,181,2,10,15,0,5,6,6,29,64,18
E02003319,92,99,1,8,12,0,8,5,5,23,69,28
E02003650,92,55,0,6,3,0,9,5,5,23,69,32
E02003805,92,27,0,3,4,0,1,4,4,16,76,24
E02003894,92,88,2,2,3,0,10,4,4,25,67,24
E02003946,92,75,2,4,6,1,12,5,5,17,75,30
E02004284,92,101,2,12,22,0,14,6,6,20,75,28
E02004438,92,78,1,2,6,0,4,5,5,25,68,28
E02005393,92,41,0,1,4,0,7,4,4,27,65,27
E02005436,92,101,0,6,11,0,10,6,8,25,67,29
E02005684,92,33,0,1,1,0,3,5,5,26,68,31
E02005813,92,112,0,17,17,0,11,6,6,24,69,27
E02006016,92,54,2,4,1,0,6,5,5,24,68,23
E02006112,92,38,0,10,3,0,0,4,4,20,72,24
E02006381,92,75,1,6,5,0,6,4,4,28,64,24
E02006544,92,114,1,12,9,0,8,6,6,31,62,27
E02006625,92,91,0,9,13,0,17,5,5,16,76,22
E02006789,92,81,0,2,7,0,22,4,4,22,70,27
E02006840,92,79,1,7,16,0,11,7,7,23,69,34
E02006898,92,0,0,4,3,0,3,5,5,32,60,21
W02000045,92,0,0,0,1,0,0,6,6,30,62,23
E02000142,91,77,0,16,12,0,7,5,5,26,65,23
E02000177,91,93,1,30,17,0,16,5,5,34,57,28
E02000385,91,62,0,21,8,0,22,4,4,30,61,23
E02000798,91,85,0,27,9,0,8,7,7,15,77,22
E02001070,91,57,2,14,4,0,1,5,5,30,61,22
E02001914,91,68,1,6,9,0,4,3,3,25,66,20
E02002706,91,63,1,12,7,0,7,5,5,22,69,20
E02002856,91,44,1,9,10,0,1,7,7,37,57,21
E02002910,91,67,1,2,4,0,6,5,5,28,64,23
E02002966,91,61,0,5,12,0,4,5,5,27,64,17
E02003568,91,101,1,27,21,0,25,5,5,31,60,22
E02003579,91,97,1,19,16,0,16,5,5,32,59,25
E02003973,91,96,2,6,20,0,5,5,5,22,69,21
E02003984,91,36,0,2,11,0,1,5,5,28,63,24
E02004119,91,76,2,11,6,0,6,7,7,27,66,18
E02004514,91,52,1,8,6,0,7,4,4,28,63,29
E02004730,91,68,0,11,6,0,9,6,6,26,66,22
E02004733,91,65,0,10,6,0,12,5,5,26,65,24
E02004793,91,54,0,13,7,0,7,4,4,18,73,20
E02005020,91,108,1,4,8,0,23,5,5,24,67,31
E02005208,91,69,0,7,6,0,14,7,7,23,68,17
E02005543,91,123,2,12,15,0,21,5,5,25,66,28
E02005627,91,39,1,2,0,0,5,4,4,30,61,23
E02005705,91,49,1,3,2,0,4,4,4,25,67,29
E02005752,91,45,0,3,3,0,0,4,4,32,59,23
E02006074,91,71,1,2,8,0,10,6,6,25,67,29
E02006174,91,54,3,4,5,0,6,6,6,24,67,23
E02006457,91,77,0,14,8,0,1,5,5,31,61,28
E02006663,91,127,2,10,9,0,12,6,6,22,71,26
E02006886,91,78,2,8,2,1,9,7,7,23,69,23
W02000123,91,68,1,0,7,1,4,5,5,15,76,25
W02000153,91,56,1,2,6,0,7,5,6,19,72,25
E02000046,90,51,0,12,8,0,13,4,4,21,69,25
E02000178,90,110,0,27,20,0,45,5,5,26,65,25
E02000263,90,149,0,12,16,0,33,6,6,34,56,16
E02000305,90,88,2,21,16,0,13,5,5,24,66,25
E02000319,90,118,0,15,22,0,15,6,6,26,65,26
E02000703,90,74,1,25,6,0,22,5,5,26,64,29
E02000715,90,79,0,14,12,0,5,4,4,38,53,25
E02000856,90,93,0,12,13,0,23,5,5,19,73,24
E02001064,90,75,3,3,18,0,4,5,5,31,60,24
E02001540,90,116,2,4,11,2,7,8,7,19,73,21
E02001541,90,103,2,5,18,0,7,7,7,29,65,24
E02001868,90,107,0,0,7,0,4,5,5,27,63,29
E02002603,90,34,1,6,5,0,1,5,5,28,62,23
E02002625,90,113,0,8,13,0,6,6,6,25,66,28
E02002653,90,92,2,18,16,0,14,6,6,26,65,18
E02002703,90,77,0,12,12,1,6,7,6,23,68,22
E02002991,90,25,0,1,8,0,3,6,6,31,60,24
E02003205,90,65,0,17,2,0,7,5,5,27,64,30
E02003343,90,51,2,2,3,0,5,4,4,18,72,22
E02003956,90,95,2,2,8,1,14,4,4,16,74,28
E02004070,90,40,0,4,4,0,3,7,6,18,72,28
E02004114,90,61,2,6,2,0,8,7,5,32,58,22
E02004596,90,90,0,5,3,0,6,4,4,32,58,21
E02004782,90,55,0,8,7,0,4,5,5,25,67,34
E02004829,90,46,0,3,3,0,5,3,3,34,57,25
E02004896,90,90,0,2,11,0,35,5,5,25,65,28
E02004905,90,50,0,5,7,0,3,4,4,24,66,21
E02005015,90,88,0,8,6,0,12,5,5,27,63,21
E02005042,90,79,0,4,11,0,9,5,6,27,64,31
E02005281,90,73,0,5,13,1,2,5,5,28,63,23
E02006272,90,71,3,3,1,0,11,5,5,23,67,22
E02006690,90,60,4,5,6,0,11,5,5,28,62,19
E02000274,89,131,0,10,30,0,19,7,7,34,56,26
E02000368,89,128,0,42,12,0,15,6,6,32,57,22
E02000764,89,106,0,23,18,0,18,7,7,28,62,19
E02001642,89,0,0,3,1,0,2,6,6,29,60,21
E02002615,89,118,1,3,16,2,3,7,6,31,59,24
E02003024,89,97,0,23,12,0,10,5,5,26,63,18
E02003543,89,96,0,33,13,0,10,5,5,40,49,21
E02003737,89,105,1,5,5,0,14,7,7,22,69,27
E02004089,89,61,0,14,13,0,6,4,4,20,69,19
E02004231,89,40,1,3,5,0,4,4,4,25,65,19
E02004378,89,80,0,15,12,0,10,5,5,21,68,27
E02004894,89,65,0,7,8,0,2,5,5,22,68,26
E02005116,89,88,0,6,7,0,15,4,4,21,68,26
E02005129,89,98,2,3,13,0,8,6,6,17,72,22
E02005276,89,60,3,8,7,0,5,5,5,22,68,21
E02005462,89,102,2,7,15,0,7,5,5,18,71,23
E02005537,89,49,2,4,5,0,5,4,4,25,64,30
E02005603,89,87,1,15,10,0,7,5,5,16,74,24
E02005606,89,50,0,0,5,0,4,4,4,25,64,20
E02005786,89,45,2,0,7,0,4,5,5,11,78,26
E02005954,89,64,0,22,6,0,14,6,6,22,67,18
E02006059,89,40,0,4,2,0,2,3,3,23,66,30
E02006392,89,95,0,5,11,0,13,5,5,26,64,24
E02006517,89,69,2,4,7,0,1,4,4,28,61,25
E02006627,89,93,0,21,12,0,9,5,5,19,71,24
E02006643,89,150,1,9,10,0,12,7,7,20,70,25
E02006714,89,37,0,3,2,0,5,4,4,25,64,23
E02006921,89,83,0,13,19,0,18,4,4,33,56,22
E02000439,88,94,1,11,12,0,13,5,5,32,56,22
E02000517,88,130,0,9,27,0,17,5,5,29,59,25
E02000738,88,117,0,15,13,0,19,4,4,35,54,17
E02000765,88,65,2,4,16,0,5,4,4,36,52,28
E02000935,88,114,0,23,19,0,32,4,4,22,66,24
E02001769,88,46,0,6,9,0,6,5,5,18,71,30
E02001874,88,0,0,0,0,0,0,5,5,30,59,26
E02002014,88,75,0,3,13,0,4,4,6,26,63,16
E02002268,88,75,0,8,18,0,5,6,6,29,60,25
E02002758,88,53,0,6,11,0,6,4,4,25,63,19
E02003180,88,103,1,18,7,0,14,5,5,13,76,21
E02003313,88,171,2,10,15,0,22,8,8,21,67,25
E02003406,88,73,1,10,7,0,11,5,5,31,57,21
E02003515,88,126,0,15,18,0,21,6,6,22,67,26
E02003554,88,53,1,11,6,0,6,4,4,23,65,25
E02003569,88,92,2,15,14,0,15,4,4,27,62,28
E02003589,88,77,1,1,17,0,9,5,5,21,67,23
E02003926,88,75,0,8,2,0,12,4,5,20,68,24
E02003935,88,125,0,2,15,0,10,5,5,16,72,25
E02004111,88,43,0,1,5,0,6,4,4,26,62,21
E02004805,88,45,1,8,1,0,8,5,5,26,63,20
E02004879,88,51,1,4,5,0,4,5,5,23,67,25
E02004898,88,74,0,2,11,0,7,5,5,22,68,25
E02004985,88,49,0,8,7,0,1,4,4,28,60,17
E02005596,88,82,2,9,14,0,3,6,6,19,71,24
E02005622,88,34,1,1,0,0,2,5,5,30,59,26
E02006093,88,70,2,2,7,0,10,5,5,24,65,24
E02006186,88,60,2,2,7,0,1,7,7,26,64,27
E02006410,88,101,0,14,15,0,22,5,5,21,68,27
E02006479,88,79,0,6,13,0,7,5,5,18,71,26
E02006510,88,37,0,2,1,2,6,3,3,17,71,32
E02006545,88,154,0,24,10,0,20,5,5,21,67,21
E02006547,88,80,0,11,5,0,4,4,4,31,59,20
E02006600,88,127,2,3,10,0,12,6,6,17,71,25
E02006604,88,126,3,14,11,0,11,7,7,23,67,24
E02006754,88,35,0,1,2,0,4,4,4,28,60,28
E02006888,88,90,0,13,14,0,13,3,3,26,62,18
W02000340,88,29,0,0,1,0,1,5,6,18,71,31
E02000104,87,94,0,3,11,0,35,4,4,34,53,20
E02000150,87,77,0,14,10,0,12,5,5,23,64,28
E02000554,87,132,0,39,23,0,25,6,6,26,62,28
E02000572,87,84,0,28,16,0,12,5,5,25,63,19
E02000708,87,77,0,27,6,0,18,5,5,26,62,26
E02000742,87,90,1,11,19,0,9,4,4,29,58,16
E02000906,87,126,0,35,14,0,22,5,5,33,54,17
E02000919,87,113,0,28,21,0,23,5,5,25,62,20
E02000981,87,60,0,17,12,0,14,5,5,31,56,18
E02001381,87,114,0,16,32,0,4,6,6,28,61,12
E02001477,87,63,0,10,14,0,10,5,5,23,65,22
E02001636,87,0,1,0,0,0,2,5,5,26,61,20
E02002233,87,111,2,5,26,0,3,6,5,32,55,19
E02002760,87,47,1,6,3,0,5,4,4,27,60,13
E02002843,87,71,0,4,21,0,1,7,7,28,59,28
E02003353,87,47,0,8,9,0,4,5,5,21,67,29
E02003752,87,124,4,5,7,0,14,5,5,28,59,31
E02004012,87,37,1,2,1,0,2,5,4,27,60,27
E02004132,87,73,1,3,5,1,7,5,5,26,62,26
E02004271,87,78,1,3,3,0,9,6,7,24,64,28
E02004845,87,73,0,4,5,0,9,4,4,28,59,19
E02005034,87,72,0,6,8,0,10,5,5,32,56,20
E02005121,87,160,2,10,8,0,16,7,8,22,66,25
E02005256,87,44,2,9,3,0,1,5,5,28,59,23
E02005268,87,121,2,8,24,0,3,6,6,26,61,28
E02005516,87,55,1,4,4,0,6,4,5,26,61,25
E02005578,87,57,1,0,2,0,5,3,4,13,74,19
E02005832,87,72,0,6,21,0,8,5,5,22,65,23
E02005893,87,89,2,9,8,0,7,6,6,26,63,23
E02005915,87,52,2,2,6,0,5,3,3,30,57,23
E02005945,87,50,0,14,6,0,5,6,6,20,68,16
E02006072,87,77,0,3,2,0,12,6,6,18,70,36
E02006402,87,101,2,14,7,0,16,7,7,23,65,22
E02006437,87,104,1,5,8,0,11,5,5,22,65,22
E02006640,87,60,1,5,5,0,3,4,4,19,68,26
E02006910,87,65,0,8,7,0,5,7,7,24,65,18
W02000114,87,44,1,4,2,0,3,4,4,20,67,24
E02000202,86,161,0,14,29,0,56,6,6,25,61,31
E02000231,86,72,0,9,9,0,7,5,5,25,61,16
E02000299,86,139,0,13,21,0,23,5,5,29,57,20
E02000320,86,100,0,14,13,0,15,4,4,31,55,19
E02000355,86,118,0,48,28,0,9,5,5,30,56,28
E02000516,86,101,0,8,15,0,12,5,5,22,65,28
E02000617,86,77,0,6,8,0,18,5,5,14,74,26
E02000650,86,111,0,15,17,0,38,6,5,31,55,23
E02000723,86,135,0,18,21,0,34,5,5,37,50,22
E02000779,86,129,0,8,20,0,19,4,4,24,62,27
E02001394,86,79,1,26,13,0,4,6,6,31,57,20
E02001547,86,121,1,9,14,0,8,7,7,23,63,27
E02001601,86,44,0,3,4,0,2,4,4,24,63,22
E02001607,86,56,1,5,8,0,5,6,6,32,54,20
E02002136,86,73,1,7,14,0,3,4,4,25,61,15
E02002142,86,63,1,6,7,0,8,4,4,36,50,23
E02002235,86,67,0,4,17,0,1,4,4,24,62,26
E02002335,86,46,1,7,3,0,3,5,5,15,72,25
E02002389,86,69,1,5,13,0,9,4,4,28,58,24
E02003126,86,52,0,3,4,0,15,5,5,23,63,24
E02003332,86,64,0,2,9,0,3,4,4,27,59,22
E02003565,86,78,1,26,10,0,12,4,4,40,46,15
E02003567,86,80,1,8,7,0,15,5,5,28,58,25
E02003740,86,51,1,6,1,0,6,3,3,23,64,17
E02003842,86,19,0,3,4,0,0,4,4,18,69,15
E02003970,86,58,1,4,4,0,3,5,5,11,75,27
E02004196,86,62,1,5,4,0,11,4,4,15,71,35
E02004674,86,73,2,8,5,0,13,5,5,19,67,20
E02005144,86,132,0,11,19,0,15,5,5,17,71,26
E02005500,86,53,3,4,3,0,7,4,4,24,63,18
E02005536,86,50,0,5,4,0,4,4,4,32,55,20
E02005568,86,77,2,2,3,0,8,3,4,21,65,20
E02005796,86,36,0,4,4,0,3,6,4,15,71,28
E02005810,86,68,2,9,9,1,11,5,6,20,67,23
E02005846,86,57,1,5,12,0,4,4,4,28,58,23
E02006105,86,77,1,19,11,0,5,6,6,19,67,29
E02006308,86,76,0,13,9,1,7,5,5,23,64,22
E02006626,86,122,0,25,12,0,13,5,5,27,60,19
E02006890,86,88,2,18,14,0,16,4,4,32,54,27
W02000359,86,83,1,9,14,0,7,5,5,30,56,19
E02000222,85,92,2,9,23,0,15,5,5,26,60,15
E02000284,85,79,0,9,16,0,13,5,5,23,63,18
E02000522,85,121,1,10,17,0,18,5,5,29,56,20
E02000674,85,103,1,23,15,0,15,5,5,33,52,23
E02000681,85,109,0,14,19,0,15,5,5,31,54,20
E02000682,85,124,0,19,22,0,17,5,5,34,53,20
E02000694,85,98,1,31,17,0,22,5,5,34,51,19
E02000817,85,107,0,33,15,0,27,4,4,31,54,29
E02000953,85,87,0,34,14,0,16,4,4,23,62,20
E02001355,85,54,0,16,13,0,2,5,5,28,57,18
E02001383,85,65,1,11,15,0,2,5,5,26,59,22
E02001618,85,0,0,6,5,0,4,8,6,23,64,23
E02001795,85,35,0,2,11,0,3,6,5,25,61,18
E02001866,85,108,0,12,18,0,7,5,5,41,44,8
E02002061,85,67,0,5,20,0,4,4,4,23,63,16
E02002126,85,78,2,9,9,0,2,5,4,18,67,23
E02002448,85,80,3,5,10,0,15,5,5,29,56,17
E02002682,85,129,0,29,17,0,11,5,5,18,67,21
