msoa11cd,total_number_of_collisions_2018_2022,total_number_of_casualties_2018_2022,fatal_casualties_2018_2022,cyclist_casualties_2018_2022,pedestrian_casualties_2018_2022,horse_rider_casualties_2018_2022,car_occupant_casualties_2018_2022,snow_collisions_2018_2022,fog_or_mist_collisions_2018_2022,darkness_collisions_2018_2022,daylight_collisions_2018_2022,summer_collisions_2018_2022
E02000837,151,73,0,37,11,0,11,5,5,46,105,49
E02000883,151,154,0,31,19,0,30,4,4,61,90,37
E02000936,151,116,1,42,19,0,28,5,5,29,122,47
E02002849,151,111,1,19,20,0,10,7,7,60,91,42
E02003493,151,73,0,11,4,0,9,5,5,39,112,40
E02003831,151,56,0,11,3,0,4,6,5,44,109,38
E02004561,151,88,2,2,5,0,9,7,7,50,102,51
E02005461,151,63,4,1,6,1,14,4,3,45,106,46
E02006602,151,77,0,1,6,1,7,5,5,34,117,47
E02000132,150,82,0,18,12,0,16,5,5,44,106,41
E02000427,150,99,0,24,15,0,31,4,4,44,107,49
E02000548,150,157,0,9,25,0,21,5,5,44,107,35
E02001628,150,6,0,0,0,0,0,4,4,44,107,34
E02001854,150,86,0,4,10,0,4,5,5,34,116,40
E02001988,150,55,0,12,13,0,2,4,4,48,102,30
E02002811,150,148,1,17,26,0,3,5,5,38,112,49
E02002869,150,76,1,8,8,0,7,5,5,40,110,40
E02003605,150,65,0,3,6,1,2,5,5,37,114,40
E02003619,150,98,1,10,11,0,10,6,6,43,107,35
E02004202,150,63,1,12,8,0,6,5,5,43,107,45
E02004264,150,87,0,14,3,0,13,5,5,37,114,53
E02004471,150,75,0,10,9,0,10,5,5,49,103,36
E02004542,150,70,0,6,9,0,10,4,4,43,107,51
E02004999,150,134,3,13,23,0,13,9,9,39,111,37
E02006329,150,74,1,13,5,0,10,4,4,40,110,37
E02006822,150,77,0,13,9,0,7,6,6,51,99,35
E02000586,149,21,0,4,8,0,1,5,5,46,103,35
E02001706,149,39,0,3,7,0,2,4,4,36,114,33
E02002925,149,78,1,3,7,1,9,6,6,41,108,40
E02004421,149,94,0,10,3,0,15,5,5,42,107,36
E02004828,149,39,0,6,2,0,3,4,4,41,109,39
E02005028,149,176,1,16,25,1,18,4,4,38,111,42
E02006267,149,81,1,7,3,0,9,4,4,29,120,31
E02006868,149,0,0,2,1,0,2,7,7,57,94,36
E02000277,148,130,2,9,17,0,31,4,4,46,102,38
E02000583,148,47,0,13,8,0,7,5,5,54,94,35
E02000654,148,118,0,31,19,0,14,5,5,40,108,39
E02001878,148,0,0,0,0,0,0,5,4,47,101,28
E02002580,148,86,0,20,17,0,11,4,4,44,104,36
E02005000,148,130,1,7,17,0,13,5,5,31,118,44
E02005033,148,84,1,3,8,0,16,4,4,46,102,38
E02005052,148,82,0,5,14,0,7,5,5,39,109,38
E02005794,148,63,2,8,3,0,3,5,5,23,125,49
E02006796,148,74,0,7,15,0,10,6,5,41,107,37
E02006915,148,32,0,0,6,0,2,4,4,51,97,37
E02000042,147,111,0,13,14,0,45,6,6,47,100,43
E02000131,147,126,0,31,18,0,33,5,5,44,103,51
E02000539,147,127,0,27,20,0,15,6,5,31,116,34
E02000773,147,107,0,9,25,0,12,4,4,52,95,35
E02000810,147,130,0,42,18,0,30,5,5,49,98,30
E02000865,147,108,0,35,16,0,16,4,4,47,101,40
E02003607,147,97,1,5,9,0,13,5,5,36,111,39
E02003795,147,33,1,5,4,0,1,3,3,51,96,26
E02004180,147,58,0,2,2,0,6,4,4,38,109,39
E02004247,147,51,1,8,1,0,7,4,4,30,117,40
E02004392,147,105,1,4,5,0,11,6,6,44,103,42
E02005202,147,85,2,8,14,0,6,7,5,52,95,41
E02000144,146,95,1,15,22,0,11,5,5,28,118,41
E02000230,146,89,0,10,20,0,13,6,6,37,109,35
E02000401,146,127,1,20,20,0,22,4,4,52,94,36
E02000645,146,138,1,38,22,0,35,5,5,47,99,40
E02000786,146,99,1,38,18,0,14,7,7,30,116,35
E02002175,146,75,1,9,13,0,5,4,4,31,115,38
E02005056,146,142,1,7,35,0,17,6,6,41,105,42
E02005153,146,102,1,2,11,0,13,5,6,29,118,48
E02006901,146,153,2,5,39,0,4,7,7,47,99,35
E02000538,145,112,0,12,17,0,11,5,5,54,91,35
E02000763,145,96,1,8,11,0,5,4,4,53,93,30
E02000983,145,72,0,20,11,0,12,6,6,44,102,44
E02002359,145,46,2,3,5,0,6,5,4,38,107,41
E02003527,145,64,0,9,10,0,13,4,4,49,96,36
E02004232,145,42,1,2,3,0,1,4,4,38,107,34
E02004365,145,118,3,13,25,0,20,4,4,54,91,37
E02004754,145,54,1,5,3,0,8,4,4,45,100,45
E02005027,145,58,0,2,5,0,7,5,4,43,102,37
E02006748,145,64,1,8,7,2,10,4,4,36,109,42
E02000047,144,155,0,13,30,0,35,6,6,50,94,46
E02000245,144,114,1,9,18,0,16,5,5,51,93,40
E02000296,144,99,0,10,22,0,10,5,5,38,106,39
E02000323,144,123,1,14,21,0,20,6,6,38,106,41
E02000590,144,40,0,9,10,0,3,5,5,49,95,38
E02000624,144,144,0,56,25,0,32,5,5,45,101,42
E02000851,144,159,0,16,20,0,32,5,5,30,114,42
E02000871,144,170,0,38,34,0,32,5,5,50,94,35
E02001141,144,105,5,3,27,0,3,7,7,42,103,45
E02003149,144,112,2,12,12,0,29,5,5,48,96,39
E02003878,144,38,1,6,3,0,8,5,7,40,106,44
E02003992,144,57,2,5,14,0,4,6,6,38,107,34
